connectivity,content,distance,filler,interface,K
0.00 ,0.02,0.005,100,10,1.3098
0.00 ,0.02,0.005,100,20,1.3302
0.00 ,0.02,0.005,100,30,1.35025
0.00 ,0.02,0.005,100,40,1.37
0.00 ,0.02,0.005,100,50,1.3894
0.00 ,0.02,0.005,200,10,1.94755
0.00 ,0.02,0.005,200,20,1.9603
0.00 ,0.02,0.005,200,30,1.9729
0.00 ,0.02,0.005,200,40,1.985
0.00 ,0.02,0.005,200,50,1.9972
0.00 ,0.02,0.005,300,10,2.3579
0.00 ,0.02,0.005,300,20,2.36685
0.00 ,0.02,0.005,300,30,2.37535
0.00 ,0.02,0.005,300,40,2.3838
0.00 ,0.02,0.005,300,50,2.39195
0.00 ,0.02,0.005,400,10,2.64385
0.00 ,0.02,0.005,400,20,2.65085
0.00 ,0.02,0.005,400,30,2.65725
0.00 ,0.02,0.005,400,40,2.66305
0.00 ,0.02,0.005,400,50,2.66955
0.00 ,0.02,0.01,100,10,1.21765
0.00 ,0.02,0.01,100,20,1.23495
0.00 ,0.02,0.01,100,30,1.25195
0.00 ,0.02,0.01,100,40,1.26855
0.00 ,0.02,0.01,100,50,1.28495
0.00 ,0.02,0.01,200,10,1.73775
0.00 ,0.02,0.01,200,20,1.74775
0.00 ,0.02,0.01,200,30,1.75745
0.00 ,0.02,0.01,200,40,1.7668
0.00 ,0.02,0.01,200,50,1.77625
0.00 ,0.02,0.01,300,10,2.05055
0.00 ,0.02,0.01,300,20,2.05715
0.00 ,0.02,0.01,300,30,2.0636
0.00 ,0.02,0.01,300,40,2.0699
0.00 ,0.02,0.01,300,50,2.07575
0.00 ,0.02,0.01,400,10,2.2595
0.00 ,0.02,0.01,400,20,2.2647
0.00 ,0.02,0.01,400,30,2.2688
0.00 ,0.02,0.01,400,40,2.27325
0.00 ,0.02,0.01,400,50,2.27765
0.00 ,0.02,0.015,100,10,1.1559
0.00 ,0.02,0.015,100,20,1.17125
0.00 ,0.02,0.015,100,30,1.18635
0.00 ,0.02,0.015,100,40,1.201
0.00 ,0.02,0.015,100,50,1.2155
0.00 ,0.02,0.015,200,10,1.60615
0.00 ,0.02,0.015,200,20,1.61445
0.00 ,0.02,0.015,200,30,1.62265
0.00 ,0.02,0.015,200,40,1.63045
0.00 ,0.02,0.015,200,50,1.6384
0.00 ,0.02,0.015,300,10,1.86555
0.00 ,0.02,0.015,300,20,1.871
0.00 ,0.02,0.015,300,30,1.87605
0.00 ,0.02,0.015,300,40,1.88105
0.00 ,0.02,0.015,300,50,1.886
0.00 ,0.02,0.015,400,10,2.03465
0.00 ,0.02,0.015,400,20,2.0383
0.00 ,0.02,0.015,400,30,2.04185
0.00 ,0.02,0.015,400,40,2.0453
0.00 ,0.02,0.015,400,50,2.04855
0.00 ,0.02,0.02,100,10,1.10705
0.00 ,0.02,0.02,100,20,1.12095
0.00 ,0.02,0.02,100,30,1.1345
0.00 ,0.02,0.02,100,40,1.1478
0.00 ,0.02,0.02,100,50,1.1609
0.00 ,0.02,0.02,200,10,1.5065
0.00 ,0.02,0.02,200,20,1.51375
0.00 ,0.02,0.02,200,30,1.52075
0.00 ,0.02,0.02,200,40,1.5278
0.00 ,0.02,0.02,200,50,1.53465
0.00 ,0.02,0.02,300,10,1.7294
0.00 ,0.02,0.02,300,20,1.73395
0.00 ,0.02,0.02,300,30,1.7382
0.00 ,0.02,0.02,300,40,1.74245
0.00 ,0.02,0.02,300,50,1.7468
0.00 ,0.02,0.02,400,10,1.8716
0.00 ,0.02,0.02,400,20,1.8746
0.00 ,0.02,0.02,400,30,1.87785
0.00 ,0.02,0.02,400,40,1.8804
0.00 ,0.02,0.02,400,50,1.88335
0.00 ,0.02,0.025,100,10,1.0654
0.00 ,0.02,0.025,100,20,1.07805
0.00 ,0.02,0.025,100,30,1.09055
0.00 ,0.02,0.025,100,40,1.10275
0.00 ,0.02,0.025,100,50,1.1145
0.00 ,0.02,0.025,200,10,1.425
0.00 ,0.02,0.025,200,20,1.43125
0.00 ,0.02,0.025,200,30,1.4375
0.00 ,0.02,0.025,200,40,1.4436
0.00 ,0.02,0.025,200,50,1.4496
0.00 ,0.02,0.025,300,10,1.6201
0.00 ,0.02,0.025,300,20,1.6238
0.00 ,0.02,0.025,300,30,1.62765
0.00 ,0.02,0.025,300,40,1.6315
0.00 ,0.02,0.025,300,50,1.63505
0.00 ,0.02,0.025,400,10,1.7428
0.00 ,0.02,0.025,400,20,1.7453
0.00 ,0.02,0.025,400,30,1.7479
0.00 ,0.02,0.025,400,40,1.7503
0.00 ,0.02,0.025,400,50,1.75245
0.00 ,0.02,0.03,100,10,1.0287
0.00 ,0.02,0.03,100,20,1.04045
0.00 ,0.02,0.03,100,30,1.0519
0.00 ,0.02,0.03,100,40,1.06305
0.00 ,0.02,0.03,100,50,1.074
0.00 ,0.02,0.03,200,10,1.35515
0.00 ,0.02,0.03,200,20,1.361
0.00 ,0.02,0.03,200,30,1.3666
0.00 ,0.02,0.03,200,40,1.372
0.00 ,0.02,0.03,200,50,1.3774
0.00 ,0.02,0.03,300,10,1.52835
0.00 ,0.02,0.03,300,20,1.53185
0.00 ,0.02,0.03,300,30,1.53525
0.00 ,0.02,0.03,300,40,1.53845
0.00 ,0.02,0.03,300,50,1.54165
0.00 ,0.02,0.03,400,10,1.6355
0.00 ,0.02,0.03,400,20,1.6379
0.00 ,0.02,0.03,400,30,1.64025
0.00 ,0.02,0.03,400,40,1.64255
0.00 ,0.02,0.03,400,50,1.6447
0.00 ,0.02,0.035,100,10,0.99555
0.00 ,0.02,0.035,100,20,1.0064
0.00 ,0.02,0.035,100,30,1.01705
0.00 ,0.02,0.035,100,40,1.02735
0.00 ,0.02,0.035,100,50,1.03745
0.00 ,0.02,0.035,200,10,1.29405
0.00 ,0.02,0.035,200,20,1.2992
0.00 ,0.02,0.035,200,30,1.30425
0.00 ,0.02,0.035,200,40,1.30915
0.00 ,0.02,0.035,200,50,1.31395
0.00 ,0.02,0.035,300,10,1.44895
0.00 ,0.02,0.035,300,20,1.4521
0.00 ,0.02,0.035,300,30,1.45505
0.00 ,0.02,0.035,300,40,1.4581
0.00 ,0.02,0.035,300,50,1.46065
0.00 ,0.02,0.035,400,10,1.54395
0.00 ,0.02,0.035,400,20,1.5462
0.00 ,0.02,0.035,400,30,1.54785
0.00 ,0.02,0.035,400,40,1.5499
0.00 ,0.02,0.035,400,50,1.55165
0.00 ,0.02,0.04,100,10,0.96515
0.00 ,0.02,0.04,100,20,0.9753
0.00 ,0.02,0.04,100,30,0.9851
0.00 ,0.02,0.04,100,40,0.9947
0.00 ,0.02,0.04,100,50,1.00405
0.00 ,0.02,0.04,200,10,1.23925
0.00 ,0.02,0.04,200,20,1.24405
0.00 ,0.02,0.04,200,30,1.2486
0.00 ,0.02,0.04,200,40,1.2531
0.00 ,0.02,0.04,200,50,1.25745
0.00 ,0.02,0.04,300,10,1.3792
0.00 ,0.02,0.04,300,20,1.382
0.00 ,0.02,0.04,300,30,1.38455
0.00 ,0.02,0.04,300,40,1.387
0.00 ,0.02,0.04,300,50,1.3898
0.00 ,0.02,0.04,400,10,1.46425
0.00 ,0.02,0.04,400,20,1.46555
0.00 ,0.02,0.04,400,30,1.46755
0.00 ,0.02,0.04,400,40,1.46925
0.00 ,0.02,0.04,400,50,1.47095
0.00 ,0.02,0.045,100,10,0.937
0.00 ,0.02,0.045,100,20,0.94655
0.00 ,0.02,0.045,100,30,0.95555
0.00 ,0.02,0.045,100,40,0.96455
0.00 ,0.02,0.045,100,50,0.9733
0.00 ,0.02,0.045,200,10,1.18985
0.00 ,0.02,0.045,200,20,1.1941
0.00 ,0.02,0.045,200,30,1.19835
0.00 ,0.02,0.045,200,40,1.2026
0.00 ,0.02,0.045,200,50,1.20655
0.00 ,0.02,0.045,300,10,1.3166
0.00 ,0.02,0.045,300,20,1.31895
0.00 ,0.02,0.045,300,30,1.32155
0.00 ,0.02,0.045,300,40,1.32385
0.00 ,0.02,0.045,300,50,1.3264
0.00 ,0.02,0.045,400,10,1.39305
0.00 ,0.02,0.045,400,20,1.3946
0.00 ,0.02,0.045,400,30,1.3963
0.00 ,0.02,0.045,400,40,1.39755
0.00 ,0.02,0.045,400,50,1.3992
0.00 ,0.02,0.05,100,10,0.91085
0.00 ,0.02,0.05,100,20,0.9196
0.00 ,0.02,0.05,100,30,0.92825
0.00 ,0.02,0.05,100,40,0.93655
0.00 ,0.02,0.05,100,50,0.94465
0.00 ,0.02,0.05,200,10,1.1448
0.00 ,0.02,0.05,200,20,1.14875
0.00 ,0.02,0.05,200,30,1.15265
0.00 ,0.02,0.05,200,40,1.1562
0.00 ,0.02,0.05,200,50,1.16005
0.00 ,0.02,0.05,300,10,1.26015
0.00 ,0.02,0.05,300,20,1.2626
0.00 ,0.02,0.05,300,30,1.2647
0.00 ,0.02,0.05,300,40,1.2669
0.00 ,0.02,0.05,300,50,1.269
0.00 ,0.02,0.05,400,10,1.32905
0.00 ,0.02,0.05,400,20,1.3307
0.00 ,0.02,0.05,400,30,1.33225
0.00 ,0.02,0.05,400,40,1.33335
0.00 ,0.02,0.05,400,50,1.3347
0.00 ,0.04,0.005,100,10,2.0631
0.00 ,0.04,0.005,100,20,2.09135
0.00 ,0.04,0.005,100,30,2.11855
0.00 ,0.04,0.005,100,40,2.145
0.00 ,0.04,0.005,100,50,2.17085
0.00 ,0.04,0.005,200,10,2.85005
0.00 ,0.04,0.005,200,20,2.8662
0.00 ,0.04,0.005,200,30,2.8804
0.00 ,0.04,0.005,200,40,2.8945
0.00 ,0.04,0.005,200,50,2.9079
0.00 ,0.04,0.005,300,10,3.28665
0.00 ,0.04,0.005,300,20,3.2975
0.00 ,0.04,0.005,300,30,3.307
0.00 ,0.04,0.005,300,40,3.3159
0.00 ,0.04,0.005,300,50,3.3244
0.00 ,0.04,0.005,400,10,3.5646
0.00 ,0.04,0.005,400,20,3.5724
0.00 ,0.04,0.005,400,30,3.5794
0.00 ,0.04,0.005,400,40,3.58575
0.00 ,0.04,0.005,400,50,3.59165
0.00 ,0.04,0.01,100,10,1.81685
0.00 ,0.04,0.01,100,20,1.8382
0.00 ,0.04,0.01,100,30,1.8585
0.00 ,0.04,0.01,100,40,1.8787
0.00 ,0.04,0.01,100,50,1.89805
0.00 ,0.04,0.01,200,10,2.3867
0.00 ,0.04,0.01,200,20,2.39725
0.00 ,0.04,0.01,200,30,2.40695
0.00 ,0.04,0.01,200,40,2.41625
0.00 ,0.04,0.01,200,50,2.42555
0.00 ,0.04,0.01,300,10,2.67925
0.00 ,0.04,0.01,300,20,2.68595
0.00 ,0.04,0.01,300,30,2.69165
0.00 ,0.04,0.01,300,40,2.69775
0.00 ,0.04,0.01,300,50,2.7023
0.00 ,0.04,0.01,400,10,2.8572
0.00 ,0.04,0.01,400,20,2.86205
0.00 ,0.04,0.01,400,30,2.8662
0.00 ,0.04,0.01,400,40,2.8696
0.00 ,0.04,0.01,400,50,2.8735
0.00 ,0.04,0.015,100,10,1.66865
0.00 ,0.04,0.015,100,20,1.6864
0.00 ,0.04,0.015,100,30,1.70325
